id,varieties
37619,"CabernetSauvignon75%,Caremenere25%,"
37621,"CabernetSauvignon50%,Carmenere50%,"
37624,"Merlot100%,"
37625,"Merlot87%,CabernetFranc5%,CabernetSauvignon5%,Malbec3%,"
37626,"SauvignonBlanc100%,"
37632,"PinotNoir100%,"
37638,"PinotNoir100%,"
37642,"Chardonnay100%,"
37645,"PinotNoir100%,"
37646,"PinotNoir100%,"
37647,"PinotNoir100%,"
37648,"PinotNoir100%,"
37669,"SauvignonBlanc40%,Semillon60%,"
37670,"CabernetSauvignon50%,Merlot50%,"
37671,"Merlot70%,CabernetSauvignon20%,CabernetFranc10%,"
37672,"Merlot86%,CabernetSauvignon9%,CabernetFranc3%,PetitVerdot2%,"
37673,"Semillon,Colombard,Grenache,UgniBlanc,Macabeu,"
37674,"Syrah,Grenache,Carignan,Cinsault,"
37675,"Semillon,SauvignonBlanc,"
37677,"Merlot,CabernetSauvignon,CabernetFranc,"
37680,"CabernetSauvignon71%,Merlot15%,PetitVerdot14%,"
37682,"Merlot60%,CabernetSauvignon40%,"
37684,"SauvignonBlanc50%,SauvignonGris50%,"
37686,"CabernetSauvignon60%,Merlot40%,"
37687,"Merlot50%,CabernetSauvignon50%,"
37689,"Merlot60%,CabernetSauvignon40%,"
37690,"CabernetSauvignon70%,Merlot30%,"
37692,"CabernetSauvignon70%,Merlot30%,"
37693,None
37696,"Merlot60%,CabernetSauvignon26%,PetitVerdot10%,CarbernetFranc4%,"
37700,"Silvaner,PinotBlanc,"
37739,"Shiraz,"
37740,"CabernetSauvignon78%,Merlot22%,"
37741,"CabernetSauvignon,"
37742,"Shiraz100%,"
37743,"SauvignonBlanc,"
37744,"Shiraz,"
37746,"Merlot90%,CabernetSauvignon10%,"
37747,"Genache,Mataro,Shiraz,"
37753,"Chardonnay,"
37754,"CabernetSauvignon,"
37758,"Tempranillo80%,Garnacha20%,"
37764,"Grenache,Carignan,Merlot,"
37782,"Merlot,CabernetFranc,CabernetSauvignon,"
37791,"Concord,"
37792,"Concord,"
37794,"Tempranillo70%,CabernetSauvignon30%,"
37797,"CabernetSauvignon60%,Merlot20%,Tempranillo20%,"
37802,"Vidal100%,"
37803,"CabernetFranc100%,"
37804,"CabernetFranc100%,"
37805,"CabernetFranc100%,"
37811,"Vidal100%,"
37813,"Vidal100%,"
37836,"CabernetSauvignon58%,Merlot40%,PetitVerdot2%,"
37841,"Malbec100%,"
37844,"Syrah100%,"
37845,"CheninBlanc90%,Torrontes10%,"
37846,"Malbec100%,"
37854,"CabernetSauvignon73%,Carmenere24%,CabernetFranc3%,"
37873,"CabernetSauvignon58%,Merlot37%,CabernetFranc5%,"
37874,"Malbec48%,Merlot28%,CabernetSauvignon12%,Syrah12%,"
37877,"Sangiovese100%,"
37878,"Sangiovese100%,"
37879,"Sangiovese100%,"
37880,"Sangiovese,CabernetSauvignon,"
37882,"Blend,"
37883,"Chardonnay,Vermentino,Viognier,"
37886,"Nebbiolo100%,"
37887,"Nebbiolo100%,"
37888,"Nebbiolo100%,"
37890,"Nebbiolo95%,Barbera5%,"
37892,"Chardonnay100%,"
37895,"Nebbiolo95%,Barbera5%,"
37896,"Nebbiolo95%,Barbera5%,"
37897,"Nebbiolo95%,Barbera5%,"
37898,"Nebbiolo95%,Barbera5%,"
37902,"Garganega90%,Chardonnay10%,"
37905,"Garganega100%,"
37906,"CabernetSauvignon100%,"
37907,"Garganega85%,Trebbiano5%,Chardonnay10%,"
37908,"CabernetSauvignon,Shiraz,Merlot,"
37909,"Blendofgrapes,"
37910,"Chardonnay,Semillon,"
37911,"CabernetSauvignon,Shiraz,Merlot,"
37912,"Blendofgrapes,"
37913,"Chardonnay,Semillon,"
37914,"Sangiovese100%,"
37916,"Sangiovese,"
37917,"Sangiovese100%,"
37918,"Sangiovese100%,"
37919,"Sangiovege100%,"
37920,"Sangiovese,Merlot,"
37921,"Sangiovese90%,CabernetSauvignon&Merlot10%,"
37922,"Sangiovese,"
37925,"Bual,Malmsey,"
37926,"TintaNeglaMole,"
37932,"Moscato100%,"
37934,"CabernetSauvignon,"
37935,"Chardonnay,"
37937,"Muscat100%,"
37938,"UgniBlanc,"
37939,"UgniBlanc,"
37940,"UgniBlanc,"
37941,"Chardonnay80%,PinotBianco20%,"
37945,"Chardonnay80%,PinotBianco20%,"
37948,"Tempranillo85%,Graciano10%,Mazuelo5%,"
37949,"Tempranillo100%,"
37951,"Tempranillo85%,Garnacha10%,Mazuelo5%,"
37952,"Tempranillo85%,Mazuelo5%,Graciano10%,"
37955,"Sangiovese80%,MalvasiaNera&Merlot20%,"
37958,"Chardonnay100%,"
37960,"Merlot100%,"
37961,"Sangiovese90%,Merlot10%,"
37962,"Sangiovese,MalvasiaNera,"
37964,"Dolcetto100%,"
37966,"Moscato100%,"
37968,"Nebbiolo100%,"
37969,"Nebbiolo100%,"
37970,"Nebbiolo100%,"
37972,"Arneis100%,"
37973,"CabernetSauvignon100%,"
37975,"CabernetSauvignon100%,"
37976,"CabernetSauvignon60%,Malbec20%,PetitVerdot20%,"
37977,"Malbec95%,Tannat5%,"
37979,"Malbec100%,"
37981,"Syrah,"
37982,"Merlot80%,CabernetFranc20%,"
37983,"Merlot80%,CabernetFranc20%,"
37984,"Merlot80%,CabernetFranc20%,"
37985,"Merlot80%,CabernetFranc20%,"
37986,"CabernetSauvignon57%,Merlot30%,CabernetFranc13%,"
37987,"CabernetSauvignon60%,Merlot28%,CabernetFranc8%,PetitVerdot4%,"
37989,"CabernetSauvignon70%,CabernetFranc15%,Malbec13%,PetitVerdot2%,"
37990,"CabernetSauvignon60%,Merlot36%,CabernetFranc4%,"
37991,"CabernetSauvignon50%,Merlot44.5%,CabernetFranc5.5%,"
37992,"CabernetSauvignon70%,Merlot15%,CabernetFranc13%,PetitVerdot2%,"
37993,"CabernetSauvignon60%,Merlot20%,CabernetFranc20%,"
37994,"CabernetSauvignon65%,Merlot35%,"
37995,"Merlot75%,CabernetFranc25%,"
37996,"Merlot75%,CabernetFranc25%,"
37997,"Merlot75%,CabernetFranc25%,"
37998,"CabernetFranc,Merlot,"
37999,"CabernetFranc,Merlot,"
38000,"CabernetFranc,Merlot,"
38001,"CabernetFranc,Merlot,"
38003,"CabernetSauvignon70%,Merlot27%,PetitVerdot2%,CabernetFranc1%,"
38004,"CabernetSauvignon58%,Merlot38%,CabernetFranc3%,PetitVerdot1%,"
38006,"CheninBlanc100%,"
38007,"Grolleau70%,CabernetFranc30%,"
38009,"CheninBlanc100%,"
38010,"CheninBlanc100%,"
38011,"CabernetSauvignon,Merlot,CabernetFranc,"
38012,"CabernetSauvignon,Merlot,CabernetFranc,"
38014,"Semillon80%,SauvignonBlanc20%,"
38015,"Semillon80%,SauvignonBlanc20%,"
38016,"Semillon80%,SauvignonBlanc20%,"
38017,"Semillon60%,SauvignonBlanc35%,Muscadelle5%,"
